Month,District_State,TotalPrecipitation
2013-05,"BALLIA, UTTAR PRADESH",0.00515
2013-05,"DATIA, MADHAYA PRADESH",0.00515
2013-05,"BANASKANTHA, GUJARAT",0.00515
2013-05,"DIU, DAMAN AND DIU",0.00515
2013-05,"BHABUA, BIHAR",0.00515
2013-05,"LATEHAR, JHARKHAND",0.00515
2013-05,"KORIYA, CHATISGARH",0.00515
2013-05,"S.RAVIDAS NAGAR, UTTAR PRADESH",0.00515
2013-05,"SHIVPURI, MADHAYA PRADESH",0.00515
2013-05,"KATNI, MADHAYA PRADESH",0.00515
2009-07,"RAMANATHAPURA, TAMILNADU",8.78529
2009-07,"LADAKH, LADAKH",15.33494
2009-07,"CUDDAPAH, ANDHRA PRADESH",17.30614
2009-07,"JAISALMER, RAJASTHAN",18.07199
2009-07,"SIVAGANGA, TAMILNADU",18.34116
2009-07,"MADURAI, TAMILNADU",19.63141
2009-07,"PRAKASAM, ANDHRA PRADESH",26.89805
2009-07,"KUPWARA, JAMMU AND KASHMIR",27.70443
2009-07,"NELLORE, ANDHRA PRADESH",31.25470
2009-07,"BIKANER, RAJASTHAN",31.32019
2002-11,"ETAH, UTTAR PRADESH",0.00000
2002-11,"AMBALA, HARYANA",0.00000
2002-11,"SHAHUJI M NAGAR, UTTAR PRADESH",0.00000
2002-11,"MAHAMAYA NAGA, UTTAR PRADESH",0.00000
2002-11,"PILIBHIT, UTTAR PRADESH",0.00000
2002-11,"UDHAMSING NAGAR, UTTARAKHAND",0.00000
2002-11,"BHABUA, BIHAR",0.00000
2002-11,"KARAULI, RAJASTHAN",0.00000
2002-11,"MAINPURI, UTTAR PRADESH",0.00000
2002-11,"SHAHJAHANPUR, UTTAR PRADESH",0.00000
2013-09,"SINGBHUM WEST� C, JHARKHAND",3.86152
2013-09,"GANGANAGAR, RAJASTHAN",10.25505
2013-09,"JAISALMER, RAJASTHAN",15.41485
2013-09,"NAINITAL, UTTARAKHAND",27.48213
2013-09,"KINNAUR, HIMACHAL PRADESH",28.83310
2013-09,"AMRITSAR, PUNJAB",30.87587
2013-09,"BIKANER, RAJASTHAN",43.07957
2013-09,"FARIDKOT, PUNJAB",43.36224
2013-09,"KARGIL, JAMMU AND KASHMIR",46.70562
2013-09,"MEERUT, UTTAR PRADESH",48.33814
2007-05,"CHITTORGARH, RAJASTHAN",0.00000
2007-05,"JABALPUR, MADHAYA PRADESH",0.00000
2007-05,"BUNDI, RAJASTHAN",0.00000
2007-05,"DAMOH, MADHAYA PRADESH",0.00000
2007-05,"SAGAR, MADHAYA PRADESH",0.00000
2007-05,"RAESEN, MADHAYA PRADESH",0.00000
2007-05,"VIDISHA, MADHAYA PRADESH",0.00000
2007-05,"NEEMUCH, MADHAYA PRADESH",0.00000
2007-05,"RAJGARH, MADHAYA PRADESH",0.00000
2007-05,"JALORE, RAJASTHAN",0.00000
2010-08,"LADAKH, LADAKH",14.30969
2010-08,"VIRUDHUNAGAR, TAMILNADU",32.18137
2010-08,"THOOTHUKUDI, TAMILNADU",53.55950
2010-08,"TIRUNELVELI, TAMILNADU",69.26623
2010-08,"ERODE, TAMILNADU",92.37986
2010-08,"MANDYA, KARNATAKA",95.68662
2010-08,"GANGANAGAR, RAJASTHAN",99.45417
2010-08,"MADURAI, TAMILNADU",101.91021
2010-08,"KUPWARA, JAMMU AND KASHMIR",112.89313
2010-08,"JAISALMER, RAJASTHAN",114.01714
2008-02,"GUNA, MADHAYA PRADESH",0.00000
2008-02,"REWARI, HARYANA",0.00000
2008-02,"DHOLPUR, RAJASTHAN",0.00000
2008-02,"SHIVPURI, MADHAYA PRADESH",0.00000
2008-02,"DATIA, MADHAYA PRADESH",0.00000
2008-02,"BHOPAL, MADHAYA PRADESH",0.00000
2008-02,"DEWAS, MADHAYA PRADESH",0.00000
2008-02,"KHARGONE, MADHAYA PRADESH",0.00000
2008-02,"BHIND, MADHAYA PRADESH",0.00000
2008-02,"GWALIOR, MADHAYA PRADESH",0.00000
2009-01,"BROACH, GUJARAT",0.00000
2009-01,"UDHAMSING NAGAR, UTTARAKHAND",0.00000
2009-01,"SOUTHSIKKIM, SIKKIM",0.00000
2009-01,"BONGAIGAON, ASSAM",0.00000
2009-01,"PARBHANI, MAHARASHTRA",0.00000
2009-01,"HYDERABAD, TELANGANA",0.00000
2009-01,"BHAVNAGAR, GUJARAT",0.00000
2009-01,"KENDRAPARA, ORISSA",0.00000
2009-01,"DIU, DAMAN AND DIU",0.00000
2009-01,"RATNAGIRI, MAHARASHTRA",0.00000
2005-07,"JAISALMER, RAJASTHAN",4.05104
2005-07,"BARMER, RAJASTHAN",13.90320
2005-07,"GANGANAGAR, RAJASTHAN",14.47470
2005-07,"BIKANER, RAJASTHAN",16.80708
2005-07,"SINGBHUM WEST� C, JHARKHAND",17.83090
2005-07,"JORHAT, ASSAM",29.32493
2005-07,"CHURU, RAJASTHAN",39.99612
2005-07,"SOUTHSIKKIM, SIKKIM",41.56009
2005-07,"SIBSAGAR, ASSAM",46.08979
2005-07,"JALORE, RAJASTHAN",47.10753
2005-09,"KUPWARA, JAMMU AND KASHMIR",2.77834
2005-09,"SOUTHSIKKIM, SIKKIM",6.16693
2005-09,"JAISALMER, RAJASTHAN",7.27570
2005-09,"EAST SIKKIM, SIKKIM",14.27665
2005-09,"JORHAT, ASSAM",20.16592
2005-09,"BARMER, RAJASTHAN",22.94185
2005-09,"SIBSAGAR, ASSAM",23.86994
2005-09,"LADAKH, LADAKH",24.04375
2005-09,"GANGANAGAR, RAJASTHAN",24.47505
2005-09,"JODHPUR, RAJASTHAN",25.40953
2000-05,"SINGBHUM WEST� C, JHARKHAND",0.00000
2000-05,"JAISALMER, RAJASTHAN",0.00000
2000-05,"GANGANAGAR, RAJASTHAN",0.01202
2000-05,"KORIYA, CHATISGARH",0.08583
2000-05,"KOWARDHA, CHATISGARH",0.15450
2000-05,"KORBA, CHATISGARH",0.17338
2000-05,"UDHAMSING NAGAR, UTTARAKHAND",0.21629
2000-05,"LATEHAR, JHARKHAND",0.21629
2000-05,"MANDLA, MADHAYA PRADESH",0.21801
2000-05,"JANJGIR, CHATISGARH",0.29011
2001-12,"MORADABAD, UTTAR PRADESH",0.00000
2001-12,"GURGAON, HARYANA",0.00000
2001-12,"RATLAM, MADHAYA PRADESH",0.00000
2001-12,"SHAHUJI M NAGAR, UTTAR PRADESH",0.00000
2001-12,"SHAJAPUR, MADHAYA PRADESH",0.00000
2001-12,"BALASORE, ORISSA",0.00000
2001-12,"VIDISHA, MADHAYA PRADESH",0.00000
2001-12,"ALLAHABAD, UTTAR PRADESH",0.00000
2001-12,"PILIBHIT, UTTAR PRADESH",0.00000
2001-12,"RAIPUR, CHATISGARH",0.00000
2013-12,"JAINTIA HILLS, MEGHALAYA",0.00172
2013-12,"SINGBHUM WEST� C, JHARKHAND",0.01202
2013-12,"KORBA, CHATISGARH",0.01202
2013-12,"KOWARDHA, CHATISGARH",0.01202
2013-12,"DIU, DAMAN AND DIU",0.01202
2013-12,"HOWRAH, WEST BENGAL",0.01202
2013-12,"GAYA, BIHAR",0.01202
2013-12,"JHARSUGUDA, ORISSA",0.01202
2013-12,"DHAMTARI, CHATISGARH",0.01202
2013-12,"MURSHIDABAD, WEST BENGAL",0.01202
2004-05,"GANGANAGAR, RAJASTHAN",0.00000
2004-05,"AMBEDKAR NAGAR, UTTAR PRADESH",0.00687
2004-05,"FAIZABAD, UTTAR PRADESH",0.00687
2004-05,"GONDA, UTTAR PRADESH",0.02747
2004-05,"ALLAHABAD, UTTAR PRADESH",0.06866
2004-05,"AURAIYA, UTTAR PRADESH",0.07210
2004-05,"BAHRAICH, UTTAR PRADESH",0.07553
2004-05,"SARAN, BIHAR",0.07896
2004-05,"BUXAR, BIHAR",0.07896
2004-05,"PANIPAT, HARYANA",0.07896
2006-07,"JAISALMER, RAJASTHAN",2.74126
2006-07,"LADAKH, LADAKH",8.00221
2006-07,"GANGANAGAR, RAJASTHAN",8.82533
2006-07,"VIRUDHUNAGAR, TAMILNADU",13.66618
2006-07,"BARMER, RAJASTHAN",14.30351
2006-07,"MADURAI, TAMILNADU",14.37922
2006-07,"RAMANATHAPURA, TAMILNADU",14.84124
2006-07,"JODHPUR, RAJASTHAN",16.90908
2006-07,"ERODE, TAMILNADU",17.77246
2006-07,"SOUTHSIKKIM, SIKKIM",19.34109
2010-11,"GANGANAGAR, RAJASTHAN",0.00000
2010-11,"UDHAMSING NAGAR, UTTARAKHAND",0.03433
2010-11,"AMRITSAR, PUNJAB",0.04807
2010-11,"FARIDKOT, PUNJAB",0.07668
2010-11,"BIJNOR, UTTAR PRADESH",0.14420
2010-11,"KAITHAL, HARYANA",0.26436
2010-11,"KURUKSHTRA, HARYANA",0.37079
2010-11,"NAINITAL, UTTARAKHAND",0.44975
2010-11,"CHANDIGARH, CHANDIGARH",0.45319
2010-11,"AMBALA, HARYANA",0.46234
2003-02,"NORTH GOA, GOA",0.00000
2003-02,"RAICHUR, KARNATAKA",0.02422
2003-02,"BAGALKOTE, KARNATAKA",0.02785
2003-02,"CHHIMTUIPUI, MIZORAM",0.03433
2003-02,"GADAG, KARNATAKA",0.03433
2003-02,"BIJAPUR, KARNATAKA",0.03712
2003-02,"KOPPAL, KARNATAKA",0.07004
2003-02,"DHARWAR, KARNATAKA",0.07553
2003-02,"GULBARGA, KARNATAKA",0.09415
2003-02,"CUDDAPAH, ANDHRA PRADESH",0.15411
2013-06,"BIKANER, RAJASTHAN",1.22366
2013-06,"JAISALMER, RAJASTHAN",2.57784
